Kingdom Phylum Class Order Family Genus
391 NA NA NA NA NA NA
392 NA NA NA NA NA NA
393 NA NA NA NA NA NA
394 NA NA NA NA NA NA
395 Magnoliopsida Celastrales Celastraceae Salacia elegans NA
396 NA NA NA NA NA NA
397 Magnoliopsida NA NA NA NA NA
398 Magnoliopsida NA NA NA NA NA
399 Magnoliopsida NA NA NA NA NA
400 NA NA NA NA NA NA
401 NA NA NA NA NA NA
402 Magnoliopsida NA NA NA NA NA
403 Magnoliopsida NA NA NA NA NA
404 Magnoliopsida NA NA NA NA NA
405 Magnoliopsida NA NA NA NA NA
406 Magnoliopsida NA NA NA NA NA
